Title,IMDb Score,Metacritic Score,Awards Received,Awards Nominated For,IMDb Votes
Ferdinand,6.7,58.0,2.0,20.0,48883.0
The King,7.2,62.0,12.0,28.0,90599.0
You Were Never Really Here,6.8,84.0,24.0,71.0,105181.0
Dolemite Is My Name,7.3,76.0,29.0,65.0,53517.0
Echo in the Canyon,6.9,69.0,2.0,3.0,2489.0
Hellboy,5.2,31.0,1.0,8.0,78429.0
The Mule,7.0,58.0,1.0,10.0,113799.0
Breaking News,6.7,63.0,5.0,11.0,5087.0
Dogman,7.2,71.0,39.0,31.0,22596.0
El Camino: A Breaking Bad Movie,7.3,72.0,4.0,22.0,185086.0
They Shall Not Grow Old,8.3,91.0,5.0,11.0,29612.0
Dark Blue World,7.2,56.0,8.0,7.0,5533.0
Ransom,6.7,60.0,3.0,5.0,119153.0
Mortal Engines,6.1,44.0,3.0,3.0,110107.0
One Cut of the Dead,7.7,86.0,26.0,21.0,17827.0
In the Tall Grass,5.4,46.0,2.0,3.0,46996.0
Clara,6.7,43.0,2.0,4.0,3818.0
Five Feet Apart,7.2,53.0,3.0,7.0,44352.0
Dark City,7.6,66.0,12.0,19.0,188244.0
The Last Family,7.5,69.0,30.0,16.0,3612.0
Green Book,8.2,69.0,58.0,119.0,382033.0
Phantom Thread,7.5,90.0,55.0,119.0,112946.0
Between Two Ferns: The Movie,6.1,59.0,1.0,2.0,26807.0
If Beale Street Could Talk,7.1,87.0,107.0,176.0,42426.0
The Battleship Island,7.1,60.0,8.0,11.0,5844.0
Real,7.1,56.0,2.0,6.0,298534.0
The Merciless,6.7,53.0,9.0,21.0,1981.0
A Taxi Driver,7.9,69.0,19.0,32.0,16326.0
Lets Go. JETS! From Small Town Girls to U.S. Champions?!,7.9,82.0,74.0,57.0,205926.0
Evelyn,7.0,55.0,4.0,7.0,6290.0
The Entity,6.7,35.0,1.0,1.0,14925.0
Fantastic Beasts: The Crimes of Grindelwald,6.6,52.0,3.0,22.0,224238.0
Blinded by the Light,6.9,71.0,2.0,6.0,19878.0
Aquaman,6.9,55.0,2.0,39.0,372277.0
Kingsman: The Golden Circle,6.7,44.0,2.0,13.0,274347.0
The Image Book,6.2,76.0,4.0,6.0,2332.0
Sink or Swim,7.0,47.0,5.0,16.0,8807.0
For the Birds,6.8,73.0,2.0,8.0,190.0
Wonder Wheel,6.2,45.0,4.0,4.0,25262.0
Elena,7.6,81.0,11.0,9.0,1704.0
Halloween,6.5,67.0,3.0,25.0,121484.0
American Factory,7.4,86.0,19.0,48.0,17956.0
Lucky,7.3,80.0,16.0,18.0,19518.0
First Man,7.3,84.0,31.0,191.0,169384.0
Instant Family,7.3,57.0,2.0,5.0,89259.0
Escape Room,6.4,48.0,1.0,7.0,88162.0
Roll Red Roll,7.1,83.0,6.0,2.0,1920.0
Fahrenheit 11/9,7.0,69.0,3.0,6.0,18156.0
Screwball,7.1,72.0,2.0,1.0,1284.0
Mollys Game,7.4,71.0,7.0,51.0,144355.0
A Star Is Born,7.6,88.0,95.0,272.0,335490.0
Jungle,6.7,48.0,2.0,5.0,49096.0
The Rider,7.4,92.0,24.0,44.0,14277.0
Sorry to Bother You,6.9,80.0,20.0,56.0,64400.0
Overlord,6.6,60.0,2.0,6.0,86657.0
The Salesman,7.8,85.0,13.0,27.0,51778.0
I Still Know What You Did Last Summer,4.7,21.0,5.0,7.0,68964.0
Bumblebee,6.8,66.0,2.0,13.0,139552.0
A Brighter Summer Day,8.4,90.0,10.0,15.0,7900.0
SAINT JUDY,6.3,51.0,1.0,4.0,1095.0
Tomorrow When the War Began,6.2,54.0,8.0,14.0,30259.0
Anna and the Apocalypse,6.0,63.0,9.0,12.0,10595.0
Darkest Hour,7.4,75.0,53.0,75.0,172970.0
Predator 2,6.3,46.0,1.0,4.0,147027.0
The Monkey King 3,5.5,51.0,1.0,4.0,1204.0
Kamikaze Girls,7.2,56.0,14.0,3.0,6961.0
A Simple Favor,6.8,67.0,3.0,4.0,129797.0
Cities of Last Things,6.2,66.0,6.0,22.0,1254.0
Upgrade,7.5,67.0,3.0,24.0,160328.0
Vox Lux,5.9,67.0,2.0,12.0,16352.0
Pitch Perfect 3,5.8,40.0,5.0,9.0,56523.0
North Country,7.3,68.0,6.0,19.0,40026.0
War for the Planet of the Apes,7.4,82.0,27.0,64.0,228511.0
Dead Calm,6.8,70.0,5.0,6.0,36733.0
Executive Decision,6.4,62.0,2.0,2.0,50899.0
Creed II,7.1,66.0,1.0,12.0,105929.0
Three Identical Strangers,7.6,81.0,11.0,57.0,28081.0
Spider-Man: Into the Spider-Verse,8.4,87.0,79.0,55.0,379220.0
Unbroken,7.2,59.0,16.0,32.0,150384.0
The Front Line,7.4,59.0,16.0,23.0,5984.0
Jules and Jim,7.8,97.0,3.0,4.0,37740.0
Beats,7.1,74.0,5.0,9.0,3203.0
The Edge of Democracy,7.2,81.0,3.0,14.0,13314.0
The Nun,5.3,46.0,2.0,1.0,119020.0
Smallfoot,6.6,60.0,1.0,15.0,34242.0
Its the Law,7.3,69.0,8.0,47.0,460854.0
Roman Holiday,8.0,78.0,11.0,16.0,127445.0
Gifted,7.6,60.0,6.0,7.0,100328.0
Murder Mystery,6.0,38.0,1.0,6.0,103859.0
BlacKkKlansman,7.5,83.0,43.0,208.0,224527.0
Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese,7.6,86.0,2.0,12.0,5406.0
Crazy Rich Asians,6.9,74.0,13.0,62.0,142865.0
The Black Godfather,7.4,69.0,4.0,5.0,1089.0
I Am Mother,6.7,64.0,4.0,5.0,76522.0
Everybody Knows,6.9,68.0,5.0,33.0,29633.0
Its Okay. Buddy,7.3,69.0,8.0,47.0,460854.0
Dr. Seuss The Grinch,6.3,51.0,1.0,18.0,56100.0
Climax,7.0,67.0,5.0,8.0,53150.0
Shoplifters,7.9,93.0,52.0,97.0,62621.0
The Quake,6.2,70.0,2.0,7.0,9784.0
Marrowbone,6.7,63.0,2.0,2.0,25645.0
Master Z: The Ip Man Legacy,6.5,72.0,2.0,4.0,6946.0
The Post,7.2,83.0,20.0,111.0,136663.0
The Big Sick,7.5,86.0,18.0,92.0,121676.0
Blindspotting,7.4,77.0,7.0,18.0,27383.0
Always Be My Maybe,6.8,64.0,1.0,2.0,46982.0
Playing with Fire,5.1,24.0,2.0,2.0,11019.0
The Meg,5.6,46.0,4.0,6.0,151262.0
Hotel Artemis,6.1,58.0,1.0,1.0,46485.0
Booksmart,7.2,84.0,24.0,53.0,93769.0
Mission: Impossible - Fallout,7.7,86.0,22.0,37.0,292193.0
A Faithful Man,6.2,67.0,4.0,8.0,2958.0
Ben Is Back,6.7,66.0,2.0,10.0,18765.0
Agatha Christies Crooked House,6.3,59.0,2.0,1.0,18188.0
Matangi/Maya/M.I.A.,7.6,70.0,4.0,11.0,1834.0
See You Yesterday,5.2,74.0,2.0,2.0,9344.0
Hagazussa: A Heathens Curse,5.9,72.0,5.0,9.0,4706.0
Support the Girls,6.4,85.0,8.0,19.0,6500.0
RBG,7.6,71.0,13.0,51.0,12700.0
Cold War,7.6,90.0,46.0,116.0,49306.0
Atomic Blonde,6.7,63.0,10.0,18.0,176386.0
The Wife,7.2,77.0,19.0,26.0,35577.0
Breaking In,5.5,42.0,1.0,1.0,14316.0
Shéhérazade,7.1,68.0,7.0,11.0,1593.0
The Midwife,6.7,66.0,1.0,1.0,2545.0
The Day He Arrives,7.0,83.0,3.0,5.0,2204.0
Sgt. Stubby: An American Hero,6.9,58.0,23.0,7.0,1941.0
Okis Movie,6.8,78.0,5.0,3.0,1013.0
Claires Camera,6.5,80.0,2.0,4.0,1917.0
Liz and the Blue Bird,7.2,67.0,1.0,4.0,1120.0
Bathtubs Over Broadway,7.5,78.0,13.0,13.0,852.0
Mid90s,7.4,66.0,4.0,10.0,49788.0
Extremely Wicked. Shockingly Evil and Vile,6.6,52.0,5.0,5.0,79809.0
Prospect,6.3,68.0,6.0,10.0,21597.0
Wildlife,6.8,80.0,6.0,23.0,24420.0
Knock Down The House,7.1,80.0,6.0,11.0,11613.0
The Wandering Earth,6.0,57.0,33.0,37.0,27090.0
Burning,7.5,90.0,58.0,140.0,50002.0
The Hateful Eight: Extended Version,7.8,68.0,42.0,116.0,520333.0
Oceans 8,6.8,61.0,3.0,14.0,189058.0
Time Trap,6.3,46.0,1.0,1.0,28907.0
Sheikh Jackson,7.0,63.0,1.0,4.0,2608.0
Life Itself,6.8,21.0,2.0,4.0,17671.0
Jonathan,5.9,62.0,2.0,1.0,5450.0
The Happytime Murders,5.4,27.0,2.0,10.0,24776.0
Truth or Dare: Extended Directors Cut,5.2,35.0,1.0,4.0,48392.0
The New Romantic,5.7,55.0,1.0,3.0,1930.0
Blaze,6.6,75.0,4.0,12.0,2821.0
A Land Imagined,6.3,59.0,12.0,14.0,1108.0
Tully,7.0,75.0,3.0,23.0,53084.0
Blockers,6.2,69.0,1.0,6.0,71788.0
The Beguiled,6.3,77.0,5.0,29.0,52472.0
Jurassic World: Fallen Kingdom,6.2,51.0,4.0,26.0,267185.0
Paul. Apostle of Christ,6.6,52.0,3.0,3.0,7320.0
Leave No Trace,7.2,88.0,17.0,90.0,51081.0
Snatched,4.5,45.0,2.0,2.0,33289.0
Novitiate,6.7,73.0,5.0,13.0,3878.0
Colette,6.7,74.0,1.0,9.0,19625.0
Golden Exits,5.8,71.0,1.0,6.0,1956.0
Sicario: Day of the Soldado,7.1,61.0,1.0,7.0,126015.0
The Spy Who Dumped Me,6.0,52.0,3.0,4.0,69325.0
Black 47,6.8,65.0,2.0,5.0,10352.0
Detroit,7.3,77.0,5.0,19.0,48441.0
The Burial of Kojo,6.5,93.0,1.0,1.0,595.0
Venom,6.7,35.0,3.0,9.0,362277.0
McQueen,7.8,84.0,1.0,11.0,6390.0
The Miseducation of Cameron Post,6.6,69.0,5.0,15.0,18944.0
The Legend of Cocaine Island,6.3,44.0,2.0,1.0,2819.0
Piercing,5.6,63.0,4.0,8.0,6269.0
The Death of Stalin,7.2,88.0,18.0,38.0,87909.0
The Equalizer 2,6.7,50.0,1.0,4.0,134887.0
All Saints,6.1,63.0,1.0,1.0,1565.0
Serenity,5.4,37.0,3.0,5.0,35929.0
The Dawn Wall,8.1,81.0,6.0,6.0,14912.0
Pick of the Litter,7.5,64.0,8.0,4.0,1279.0
Eighth Grade,7.4,89.0,61.0,89.0,63218.0
The Boy Who Harnessed the Wind,7.6,68.0,3.0,5.0,29245.0
How to Be a Latin Lover,6.0,54.0,2.0,2.0,14223.0
Isnt It Romantic,5.9,60.0,1.0,8.0,63220.0
Searching,7.6,71.0,6.0,10.0,141906.0
Second Act,5.8,46.0,2.0,1.0,22791.0
Revenge,6.4,81.0,3.0,10.0,36518.0
Transformer,7.4,78.0,1.0,1.0,834.0
El ángel,7.0,61.0,20.0,32.0,9134.0
Life of the Party,5.6,46.0,3.0,4.0,33970.0
Studio 54,7.0,70.0,2.0,5.0,2369.0
Hereditary,7.3,87.0,44.0,105.0,241835.0
Magnolia,8.0,77.0,28.0,59.0,290583.0
At Eternitys Gate,6.9,76.0,3.0,16.0,28563.0
Hearts Beat Loud,6.9,65.0,3.0,9.0,9951.0
I Think Were Alone Now,5.7,51.0,2.0,2.0,7752.0
We the Animals,6.9,82.0,12.0,31.0,3808.0
Maudie,7.6,65.0,24.0,17.0,16468.0
Dances with Wolves,8.0,72.0,51.0,38.0,240656.0
Casino Royale,8.0,80.0,27.0,44.0,582997.0
Wont You Be My Neighbor?,8.4,85.0,53.0,32.0,23319.0
Velvet Buzzsaw,5.7,61.0,1.0,2.0,54481.0
Believer,6.5,58.0,7.0,28.0,1914.0
Kingdom,6.6,62.0,3.0,7.0,1708.0
Thank You for Your Service,6.6,68.0,1.0,1.0,12458.0
Hotel Transylvania 3: Summer Vacation,6.3,54.0,2.0,9.0,58293.0
What Keeps You Alive,5.7,66.0,1.0,5.0,6842.0
The Spy Gone North,7.3,69.0,23.0,34.0,3584.0
Ready Player One,7.5,64.0,11.0,56.0,371476.0
Book Club,6.1,53.0,2.0,3.0,25578.0
The Bullet Vanishes,6.6,65.0,4.0,18.0,1945.0
Soni,7.1,68.0,4.0,5.0,2383.0
And Breathe Normally,6.9,77.0,8.0,22.0,2426.0
Pope Francis: A Man of His Word,6.3,63.0,1.0,4.0,2031.0
A Quiet Place,7.5,82.0,34.0,114.0,410706.0
The Witches,6.9,78.0,3.0,8.0,44326.0
Ideal Home,6.4,62.0,2.0,2.0,7884.0
The Book of Henry,6.6,31.0,1.0,3.0,24247.0
Den 12. mann,7.4,70.0,4.0,4.0,20713.0
Overboard (2018),6.0,42.0,3.0,10.0,34546.0
Early Man,6.1,68.0,1.0,10.0,19891.0
Game Night,6.9,66.0,4.0,19.0,207914.0
Di Renjie zhi Sidatianwang,6.4,58.0,1.0,18.0,2311.0
Bird Box,6.6,51.0,5.0,8.0,280672.0
The Indian in the Cupboard,6.0,58.0,1.0,6.0,26340.0
The Mummy,5.4,34.0,6.0,17.0,173510.0
Klovn Forever,6.3,57.0,1.0,1.0,4312.0
ROMA,7.7,96.0,251.0,212.0,140808.0
Goldstone,6.5,78.0,10.0,16.0,4782.0
The Dirty Dozen,7.7,73.0,4.0,9.0,67395.0
Blade Runner: The Final Cut,8.1,84.0,12.0,19.0,695428.0
The Cakemaker,7.2,74.0,18.0,15.0,4075.0
Elvis and Nixon,6.4,59.0,2.0,2.0,13151.0
Journeys End,6.7,73.0,4.0,3.0,7977.0
The Bookshop,6.5,62.0,14.0,33.0,12961.0
Mary Shelley,6.4,49.0,1.0,7.0,13306.0
Summer of 84,6.7,57.0,1.0,5.0,33959.0
Afterimage,7.0,75.0,1.0,12.0,2649.0
Happy as Lazzaro,7.5,87.0,18.0,53.0,15478.0
The World Is Yours,6.4,73.0,1.0,5.0,3712.0
Loveless,7.6,86.0,20.0,47.0,29939.0
Cam,5.9,71.0,5.0,3.0,26964.0
The Ballad of Buster Scruggs,7.3,79.0,7.0,41.0,123563.0
Police Story 2,7.1,68.0,2.0,1.0,17589.0
A Better Tomorrow,7.5,78.0,6.0,14.0,20720.0
A Gentle Creature,6.6,78.0,2.0,13.0,2075.0
BuyBust,5.8,68.0,8.0,30.0,1656.0
The Leisure Seeker,6.7,45.0,3.0,9.0,7497.0
The 15:17 to Paris,5.3,45.0,1.0,3.0,29390.0
The Other Side of the Wind,6.8,78.0,9.0,9.0,6315.0
They’ll Love Me When I’m Dead,7.4,77.0,2.0,2.0,4438.0
Ethel and Ernest,7.8,72.0,3.0,8.0,2844.0
Disobedience,6.6,74.0,4.0,21.0,25444.0
Alien,8.4,89.0,17.0,22.0,789742.0
Heneral Luna,7.5,58.0,17.0,19.0,1889.0
Kai Po Che!,7.7,40.0,11.0,32.0,32623.0
Dovlatov,6.4,68.0,4.0,9.0,1732.0
Shirkers,7.4,88.0,8.0,31.0,4459.0
The Fate of the Furious,6.7,56.0,2.0,12.0,205541.0
Get Out,7.7,85.0,151.0,199.0,495103.0
What Will People Say,7.4,69.0,16.0,13.0,4686.0
The Kindergarten Teacher,6.7,75.0,2.0,12.0,13093.0
Apostle,6.3,62.0,1.0,8.0,43947.0
Murder on the Orient Express,7.3,63.0,9.0,16.0,56138.0
T2: Trainspotting,7.2,67.0,6.0,7.0,114447.0
22 luglio,6.8,69.0,2.0,3.0,28277.0
A Letter to Momo,7.3,65.0,3.0,7.0,6805.0
Private Life,7.2,83.0,1.0,17.0,16246.0
Demolition,7.0,49.0,1.0,2.0,89559.0
Stronger,6.9,76.0,2.0,8.0,40838.0
The Spy,6.6,59.0,18.0,31.0,217014.0
Tazza: The High Rollers,7.2,77.0,18.0,17.0,2042.0
Save the Green Planet!,7.3,70.0,20.0,2.0,7655.0
Spider-Man: Homecoming,7.4,73.0,7.0,10.0,515323.0
Roman Israel. Esq.,6.5,58.0,2.0,10.0,33218.0
Secret Sunshine,7.5,84.0,25.0,15.0,7131.0
Predators,6.4,51.0,2.0,4.0,212134.0
Rough Night,5.2,51.0,1.0,1.0,47330.0
Godzilla: Resurgence,6.8,67.0,13.0,10.0,22748.0
Marshall,7.3,66.0,5.0,19.0,20980.0
Call Me by Your Name,7.9,93.0,97.0,255.0,215122.0
Jumanji: Welcome to the Jungle,6.9,58.0,6.0,18.0,320819.0
Blade Runner 2049,8.0,81.0,97.0,154.0,463964.0
Manchester by the Sea,7.8,96.0,129.0,255.0,248220.0
Flatliners,5.2,27.0,1.0,4.0,42818.0
Baby Driver,7.6,86.0,42.0,65.0,441302.0
Thirteen,6.8,70.0,14.0,49.0,79664.0
Jodhaa Akbar,7.6,69.0,35.0,23.0,29951.0
The German Doctor,6.7,62.0,19.0,22.0,6721.0
Clandestine Childhood,7.0,55.0,22.0,18.0,2402.0
Wonder,8.0,66.0,4.0,29.0,143023.0
Nappily Ever After,6.4,63.0,1.0,5.0,8107.0
Quincy,7.6,60.0,8.0,8.0,3735.0
Paddington 2,7.8,88.0,14.0,44.0,61921.0
The Endless,6.5,80.0,5.0,8.0,34231.0
Split,7.3,62.0,9.0,23.0,428760.0
Die göttliche Ordnung,7.1,67.0,13.0,11.0,2438.0
Jane,7.8,87.0,37.0,37.0,4575.0
A Prayer Before Dawn,6.9,76.0,1.0,6.0,20759.0
Winchester,5.5,28.0,6.0,9.0,30721.0
The Hollars,6.6,53.0,1.0,3.0,11671.0
Florence Foster Jenkins,6.8,71.0,10.0,45.0,51088.0
Mountain,7.2,82.0,3.0,6.0,3784.0
Loving,7.0,79.0,25.0,86.0,32033.0
Justice League,6.3,45.0,2.0,13.0,385856.0
The Lodgers,5.1,52.0,4.0,4.0,8458.0
Peter Rabbit,6.6,51.0,4.0,16.0,35613.0
Resident Evil: The Final Chapter,5.5,49.0,2.0,3.0,84304.0
Big Fish and Begonia,7.1,72.0,3.0,10.0,4807.0
To All the Boys I’ve Loved Before,7.1,64.0,5.0,11.0,88048.0
The Motive,6.5,58.0,18.0,28.0,4826.0
Hostiles,7.2,65.0,4.0,7.0,71990.0
Brothers Friend,7.1,47.0,1.0,2.0,21854.0
Fast Color,6.1,64.0,1.0,7.0,4776.0
Wyatt Earp,6.7,47.0,3.0,7.0,45794.0
The Outsiders,7.1,41.0,1.0,4.0,75887.0
I See You,6.8,65.0,1.0,1.0,30638.0
The Terminal,7.4,55.0,7.0,8.0,408150.0
This Evening,6.4,85.0,16.0,21.0,1809.0
The Master,7.2,86.0,75.0,187.0,155991.0
Demons Path,6.1,80.0,2.0,7.0,5238.0
Love for Sale,7.2,62.0,28.0,26.0,1605.0
Paprika,7.7,81.0,6.0,5.0,71845.0
Single White Female,6.4,63.0,1.0,1.0,32388.0
Love In The Buff,6.8,65.0,2.0,6.0,1671.0
Election 2,7.4,83.0,1.0,14.0,5731.0
The Bleeding Edge,7.7,74.0,2.0,2.0,2190.0
The Nutty Professor II: The Klumps,4.4,38.0,2.0,15.0,48311.0
Downsizing,5.7,63.0,1.0,16.0,99276.0
The Iron Ladies,6.4,50.0,10.0,4.0,1331.0
One Piece Film: Gold,7.2,43.0,1.0,3.0,4058.0
Geostorm,5.3,21.0,1.0,1.0,95157.0
I Feel Pretty,5.5,48.0,1.0,7.0,49029.0
The Devil Wears Prada,6.9,62.0,20.0,52.0,372576.0
Independence Day,7.0,59.0,35.0,35.0,528920.0
Aliens,8.3,84.0,20.0,23.0,654147.0
Alien Resurrection,6.2,63.0,7.0,21.0,229629.0
Alien vs. Predator,5.6,29.0,2.0,4.0,185073.0
Same Kind of Different as Me,6.6,47.0,1.0,1.0,6463.0
Daddys Home 2,6.0,30.0,1.0,11.0,62895.0
White Fang,7.0,61.0,1.0,4.0,3173.0
I. Tonya,7.5,77.0,46.0,120.0,183143.0
The Frighteners,7.1,52.0,3.0,16.0,82373.0
Certain Women,6.3,82.0,12.0,47.0,12142.0
Dogtown and Z-Boys,7.7,76.0,7.0,6.0,12308.0
Duck Butter,5.3,58.0,2.0,1.0,3223.0
True Lies,7.2,63.0,8.0,23.0,238573.0
It Takes Two,5.9,45.0,1.0,3.0,20870.0
Ice Age,7.5,60.0,5.0,30.0,443268.0
Ice Age: Dawn of the Dinosaurs,6.9,50.0,3.0,13.0,224642.0
Suburbicon,5.7,42.0,4.0,8.0,40618.0
Loving Pablo,6.3,42.0,1.0,5.0,18228.0
Calibre,6.8,76.0,2.0,7.0,22865.0
Lu Over the Wall,6.8,62.0,1.0,2.0,1816.0
It,7.3,69.0,8.0,47.0,460854.0
Passengers,7.0,41.0,1.0,12.0,351103.0
Sundays Illness,6.9,92.0,7.0,12.0,3033.0
Sweet Country,6.9,87.0,22.0,29.0,7450.0
Dunkirk,7.8,94.0,64.0,228.0,556842.0
An Officer and a Gentleman,7.0,75.0,9.0,13.0,49685.0
Alis Wedding,6.9,64.0,8.0,23.0,4399.0
Billy Lynns Long Halftime Walk,6.2,53.0,2.0,7.0,21177.0
Lady Bird,7.4,94.0,116.0,224.0,243256.0
Thelma,7.0,74.0,15.0,46.0,26944.0
The Disaster Artist,7.4,76.0,31.0,79.0,138382.0
5 Fingers for Marseilles,6.2,73.0,8.0,12.0,780.0
Police Story,7.6,78.0,2.0,5.0,29914.0
Mother!,6.6,75.0,9.0,41.0,192493.0
New Jack City,6.7,61.0,1.0,5.0,31771.0
The Hero,6.5,61.0,2.0,6.0,8137.0
Beatriz at Dinner,6.0,68.0,2.0,8.0,9081.0
The Glass Castle,7.2,56.0,1.0,2.0,29992.0
Dean,6.3,58.0,2.0,1.0,2256.0
The Night Is Short. Walk On Girl,7.6,65.0,2.0,5.0,3908.0
Annabelle: Creation,6.5,62.0,1.0,7.0,113029.0
Faces Places,7.9,94.0,36.0,40.0,10898.0
Brads Status,6.5,71.0,1.0,2.0,16078.0
Pilgrimage,5.8,60.0,1.0,3.0,4698.0
Falling Down,7.6,56.0,1.0,2.0,172474.0
Swept Away,3.6,18.0,8.0,8.0,15788.0
Ouija: Origin of Evil,6.1,65.0,2.0,7.0,54308.0
A Bride for Rip Van Winkle,7.2,56.0,2.0,6.0,1388.0
Mom and Dad,5.5,59.0,1.0,2.0,20749.0
Captain Fantastic,7.9,72.0,15.0,50.0,189498.0
Monty Python and the Holy Grail,8.2,91.0,3.0,3.0,502049.0
Borg vs. McEnroe,6.9,63.0,7.0,13.0,28122.0
The Florida Project,7.6,92.0,66.0,129.0,96017.0
The Killing of a Sacred Deer,7.0,73.0,5.0,53.0,125746.0
An Inconvenient Sequel: Truth to Power,6.4,68.0,6.0,15.0,7652.0
Silverado,7.2,64.0,1.0,4.0,38489.0
Undercover Kitty,6.8,50.0,8.0,2.0,4773.0
Inferno,6.2,42.0,4.0,1.0,160487.0
Better Watch Out,6.5,67.0,8.0,2.0,32265.0
Love and Death,7.7,89.0,3.0,2.0,36031.0
Kicks,6.4,69.0,4.0,3.0,4138.0
Saturday Church,6.4,72.0,14.0,5.0,762.0
Hush,5.5,18.0,1.0,2.0,10553.0
Gods Own Country,7.7,85.0,31.0,39.0,25480.0
First Match,6.4,68.0,2.0,1.0,1980.0
The Bodyguard,6.3,39.0,10.0,21.0,120087.0
Roxanne Roxanne,6.2,74.0,1.0,4.0,2798.0
Wonder Woman,7.4,76.0,24.0,71.0,570776.0
The Beatles: Eight Days a Week,7.8,72.0,5.0,14.0,11434.0
A Man in the Dark,7.1,71.0,7.0,21.0,223676.0
In This Corner of the World,7.8,73.0,10.0,10.0,8977.0
Annihilation,6.8,79.0,16.0,56.0,282373.0
Bitch,5.1,55.0,1.0,1.0,1735.0
68 Kill,6.0,56.0,3.0,1.0,4945.0
Nocturnal Animals,7.5,67.0,20.0,148.0,239999.0
The Shack,6.3,32.0,3.0,2.0,30671.0
A Perfect Murder,6.5,50.0,2.0,3.0,79406.0
Happy Family,7.4,86.0,13.0,10.0,3161.0
Columbus,7.2,89.0,9.0,29.0,14556.0
A Silent Voice,8.1,78.0,4.0,8.0,48554.0
Loving Vincent,7.8,62.0,22.0,51.0,50988.0
Wind River,7.7,73.0,14.0,26.0,207223.0
Guru,7.7,70.0,17.0,33.0,22044.0
LA 92,8.2,66.0,3.0,8.0,5562.0
Beach Rats,6.4,78.0,12.0,16.0,12652.0
The Bridges of Madison County,7.6,69.0,7.0,18.0,73431.0
The Zookeepers Wife,7.0,57.0,2.0,3.0,38813.0
Lincoln,7.3,86.0,109.0,251.0,245650.0
The Breadwinner,7.7,78.0,20.0,54.0,20926.0
John Wick: Chapter Two,7.5,75.0,4.0,10.0,367362.0
The Villainess,6.7,64.0,6.0,13.0,12346.0
Trophy,7.3,80.0,1.0,6.0,617.0
Breathe,7.2,51.0,1.0,4.0,19275.0
The Ritual,6.3,57.0,4.0,4.0,78411.0
The Emoji Movie,3.3,12.0,7.0,3.0,56232.0
Ingrid Goes West,6.6,71.0,2.0,9.0,36264.0
On Body and Soul,7.6,77.0,17.0,19.0,24150.0
Lost City of Z,6.6,78.0,6.0,31.0,80547.0
Any Given Sunday,6.9,52.0,3.0,9.0,112334.0
Baywatch,5.5,37.0,5.0,11.0,162201.0
Transformers: The Last Knight,5.2,27.0,4.0,19.0,136008.0
The Avengers,3.8,12.0,4.0,17.0,41038.0
Born to Be Blue,6.9,64.0,3.0,7.0,8053.0
Found,5.9,41.0,25.0,8.0,3814.0
The Girl on the Train,6.5,48.0,4.0,12.0,169614.0
Ghostbusters,6.4,60.0,5.0,24.0,204928.0
Captain Underpants: The First Epic Movie,6.2,69.0,3.0,15.0,25081.0
Good Time,7.4,80.0,6.0,49.0,91250.0
A Bad Moms Christmas,5.6,42.0,1.0,1.0,45151.0
A Ghost Story,6.9,84.0,12.0,20.0,61150.0
Suffragette,6.9,66.0,17.0,16.0,38489.0
The Shallows,6.3,59.0,1.0,15.0,120760.0
Die Hard 4.0,7.1,69.0,3.0,16.0,390192.0
Tatsumi,7.1,78.0,3.0,6.0,702.0
Lost Highway,7.6,52.0,4.0,6.0,131838.0
The Brand New Testament,7.1,70.0,14.0,25.0,30082.0
Creepy,6.3,76.0,3.0,1.0,4391.0
Kong: Skull Island,6.6,62.0,1.0,21.0,271946.0
The Lego Batman Movie,7.3,75.0,13.0,67.0,131509.0
Logan Lucky,7.0,78.0,2.0,11.0,131724.0
Clash,7.5,78.0,11.0,8.0,5038.0
CHIPS,6.0,28.0,2.0,1.0,42597.0
Mr. Roosevelt,6.2,73.0,5.0,4.0,2807.0
Creep 2,6.5,75.0,2.0,1.0,19975.0
Bright,6.3,29.0,1.0,7.0,169376.0
Live Flesh,7.4,69.0,11.0,14.0,28561.0
The Flower of My Secret,7.0,75.0,5.0,13.0,10443.0
Bad Education,7.4,81.0,16.0,42.0,55919.0
Menashe,6.5,81.0,9.0,18.0,1988.0
Love Me If You Dare,7.6,45.0,5.0,2.0,67508.0
Fist Fight,5.6,37.0,1.0,1.0,39746.0
Peepli Live,7.4,69.0,4.0,13.0,11826.0
Lagaan,8.1,84.0,54.0,20.0,105212.0
Dhobi Ghat (Mumbai Diaries),7.0,55.0,1.0,3.0,12488.0
Delhi Belly,7.6,66.0,6.0,9.0,27562.0
By the Sea,5.3,44.0,1.0,2.0,18777.0
Your Name,8.4,79.0,16.0,25.0,197791.0
My Happy Family,7.4,86.0,13.0,10.0,3161.0
American Graffiti,7.4,97.0,9.0,13.0,82037.0
Cool Hand Luke,8.1,92.0,4.0,10.0,162571.0
High Heels,7.1,51.0,11.0,9.0,14038.0
Wakefield,6.3,62.0,1.0,1.0,15464.0
The Boss Baby,6.3,50.0,4.0,21.0,109139.0
Collateral Beauty,6.8,23.0,1.0,6.0,91920.0
Mudbound,7.4,85.0,35.0,117.0,43081.0
Jim and Andy: The Great Beyond - Featuring a Very Special. Contractually Obligated Mention of Tony Clifton,7.7,77.0,3.0,7.0,23180.0
Billy Elliot,7.7,74.0,56.0,73.0,127066.0
