Title,IMDb Score,Metacritic Score,Awards Received,Awards Nominated For,IMDb Votes
The Man Who Killed Don Quixote,6.4,58.0,4.0,7.0,16212.0
Deliver Us,6.4,63.0,2.0,2.0,264.0
True History of the Kelly Gang,6.0,75.0,6.0,13.0,7968.0
Widows,6.9,84.0,18.0,94.0,87559.0
The Wretched,5.8,61.0,4.0,4.0,10850.0
Im Standing on a Million Lives,6.5,51.0,26.0,69.0,733336.0
Motherless Brooklyn,6.8,60.0,2.0,15.0,44513.0
Richard Jewell,7.5,68.0,7.0,19.0,63671.0
Birds of Prey (And the Fantabulous Emancipation of One Harley Quinn),6.1,60.0,5.0,38.0,168176.0
American Animals,7.0,68.0,10.0,21.0,38839.0
The Call,6.7,51.0,1.0,11.0,113200.0
Hillbilly Elegy,6.8,38.0,1.0,15.0,23416.0
Whose Streets?,5.4,79.0,2.0,18.0,1230.0
Playing with Fire,5.1,24.0,2.0,2.0,11019.0
Rocketman,7.3,69.0,21.0,70.0,138522.0
Gemini Man,5.7,38.0,1.0,5.0,86715.0
A Guy & A Girl,6.4,45.0,1.0,8.0,212311.0
The Life Ahead,6.8,66.0,8.0,24.0,7696.0
The Liberator,6.8,51.0,1.0,3.0,5038.0
Axolotl Overkill,5.3,65.0,2.0,5.0,704.0
The Hero,6.5,61.0,2.0,6.0,8137.0
Girls Revenge,8.1,79.0,64.0,187.0,863582.0
Paranormal,6.3,68.0,3.0,12.0,220740.0
The War of the Roses,6.9,79.0,2.0,9.0,48270.0
Harriet,6.6,66.0,23.0,50.0,19939.0
Dolittle,5.6,26.0,1.0,1.0,48589.0
Cats,2.8,32.0,11.0,7.0,42619.0
Love & Anarchy,6.1,51.0,2.0,1.0,48843.0
The Mermaid,6.2,69.0,8.0,13.0,8284.0
MOTHER,7.8,79.0,44.0,46.0,53293.0
Evil,7.8,61.0,9.0,10.0,35722.0
The Outpost,6.8,71.0,1.0,5.0,20459.0
Raising Victor Vargas,7.2,83.0,4.0,14.0,5244.0
Tortilla Soup,6.7,58.0,2.0,7.0,4423.0
Yes. God. Yes,6.1,71.0,2.0,1.0,9632.0
I Am Woman,6.6,54.0,1.0,11.0,1585.0
The Hummingbird Project,6.2,58.0,2.0,5.0,12037.0
Amandla! A Revolution in Four Part Harmony,7.4,78.0,11.0,7.0,562.0
Sleeper,7.2,77.0,2.0,2.0,39767.0
The Mountain Between Us,6.4,48.0,2.0,1.0,67847.0
Im Not Ready for Christmas,6.5,51.0,26.0,69.0,733336.0
Habermann,7.1,46.0,5.0,7.0,1019.0
1917,8.3,78.0,123.0,180.0,430438.0
His House,6.5,72.0,4.0,20.0,23939.0
The Queens Gambit,7.3,91.0,96.0,97.0,104495.0
Im losing it,6.5,51.0,26.0,69.0,733336.0
Rebecca,8.1,86.0,7.0,10.0,124423.0
Bending the Arc,7.7,80.0,1.0,1.0,188.0
Disappearance at Clifton Hill,5.5,61.0,1.0,9.0,1848.0
The Trial of the Chicago 7,7.8,77.0,31.0,119.0,94389.0
The Forty-Year-Old Version,7.2,80.0,13.0,24.0,3253.0
Honey Boy,7.3,73.0,10.0,37.0,28105.0
Black Christmas,7.2,65.0,2.0,2.0,34569.0
David Attenborough: A Life on Our Planet,9.0,72.0,3.0,2.0,24796.0
Spotlight,8.1,93.0,124.0,143.0,422721.0
Judy,6.8,66.0,23.0,61.0,41429.0
Dick Johnson Is Dead,7.5,89.0,17.0,28.0,4163.0
Aliens,8.3,84.0,20.0,23.0,654147.0
Im Leaving Now,6.5,51.0,26.0,69.0,733336.0
Time Out,7.4,88.0,2.0,8.0,4645.0
My Mothers Wound,6.8,70.0,12.0,26.0,6950.0
Rhino Season,6.4,66.0,6.0,6.0,6239.0
Rojo,6.4,76.0,15.0,26.0,1896.0
One Day,7.0,48.0,1.0,2.0,139731.0
High & Low The Worst,7.6,88.0,47.0,167.0,205077.0
High & Low The Movie 3 / Final Mission,7.6,88.0,47.0,167.0,205077.0
High & Low The Movie 2 / End of Sky,7.6,88.0,47.0,167.0,205077.0
High & Low The Red Rain,7.6,88.0,47.0,167.0,205077.0
High & Low The Movie,7.6,88.0,47.0,167.0,205077.0
Dragons Dogma,7.1,62.0,14.0,21.0,13870.0
Battle of the Sexes,6.7,73.0,3.0,22.0,50309.0
Patti Cake$,6.8,67.0,9.0,15.0,9579.0
The Lighthouse,7.5,83.0,32.0,131.0,146042.0
Wild Rose,7.2,80.0,17.0,34.0,10863.0
The Duchess,6.9,62.0,8.0,21.0,78504.0
The Teacher,7.3,77.0,8.0,14.0,3076.0
Whos Afraid of the Wolf,6.6,59.0,18.0,31.0,217014.0
Cuties,3.1,67.0,1.0,5.0,26761.0
The Social Dilemma,7.7,78.0,3.0,11.0,64767.0
Cargo,6.3,65.0,1.0,17.0,37588.0
Lingua Franca,6.3,61.0,6.0,19.0,422.0
Quantum of Solace,6.6,58.0,4.0,32.0,406102.0
We Summon the Darkness,5.2,55.0,1.0,1.0,7540.0
Children of the Sea,6.5,74.0,2.0,1.0,1692.0
1BR,5.8,56.0,2.0,2.0,8938.0
Afterschool,6.1,66.0,1.0,10.0,4377.0
Matt & Mou,7.6,75.0,8.0,2.0,1479.0
Somewhere In Time,7.2,29.0,7.0,4.0,26950.0
Still Life,7.4,45.0,19.0,5.0,7414.0
The Tree,6.6,58.0,1.0,16.0,4377.0
Outbreak,6.6,64.0,5.0,5.0,120516.0
A Beautiful Day in the Neighborhood,7.3,80.0,6.0,63.0,61847.0
Anastasia,7.2,61.0,10.0,23.0,112420.0
Im Thinking of Ending Things,6.5,51.0,26.0,69.0,733336.0
Parasite,8.6,96.0,300.0,262.0,566337.0
